metric_id,metric_name,analysis_object,business_statistic_grain,source_grain,display_grain,calculation_basis,status
M01,生产异常农户总数,养户,养户,一条生产异常预警事件,月度/当日,预警状态为持续中或仅通知,confirmed
M02,持续中预警农户数,养户,养户,一条生产异常预警事件,月度/当日,预警状态为持续中,confirmed
M03,持续中-需巡查农户数,养户,养户,一条生产异常预警事件,月度/当日,预警状态为持续中且是否巡查为是,confirmed
M04,持续中-无需巡查农户数,养户,养户,一条生产异常预警事件,月度/当日,预警状态为持续中且是否巡查为否,confirmed
M05,今日仅通知农户数,养户,养户,一条生产异常预警事件,当日,预警状态为仅通知,confirmed
M06,预警关闭占比,预警事件,预警事件,一条生产异常预警事件,月度,预警状态为已关闭,confirmed
M07,平均持续时长,预警事件,预警事件,一条生产异常预警事件,月度,持续时长取平均值,confirmed
M08,7天复发率,预警事件,预警事件,一条生产异常预警事件,月度,组织+养户+猪群+预警指标+等级一致且间隔≤7天,confirmed
M09,有效干涉率,巡查工单,巡查工单,一条巡查工单,月度,巡查工单状态为已完成,confirmed
C01,异常农户占比,养户,养户,一条生产异常预警事件+养户档案全量,月度/当日,异常农户数/总养户数,confirmed
T01,按预警指标趋势,养户,养户(按预警指标分组),一条生产异常预警事件,月度,按预警指标+养户去重统计,confirmed
T02,按预警等级趋势,养户,养户(按预警等级分组),一条生产异常预警事件,月度,按预警等级+养户去重统计,confirmed
T03,有效干涉率趋势,巡查工单,巡查工单,一条巡查工单,月度,按月统计已完成占比,confirmed
T04,平均持续时长趋势,预警事件,预警事件,一条生产异常预警事件,月度,按月计算平均持续时长,confirmed
T05,7天复发率趋势,预警事件,预警事件,一条生产异常预警事件,月度,按月计算7天复发率,confirmed
